iso_3,year,sentiment,amount_of_time_spent_on_climate,Annual COâ‚‚ emissions (per capita),Anual co2 per capita shifted,Change co2
CHE,2015,0.9451,0.0625,4.676776,4.680019,-0.0032429999999994408
CHE,2016,0.9310666666666667,0.35294117647058826,4.680019,4.51728,0.1627389999999993
CHE,2017,0.7542333333333334,0.2,4.51728,4.3307433,0.18653670000000044
CHE,2018,0.9442,0.1,4.3307433,4.283443,0.04730029999999985
CHE,2019,0.9648000000000001,0.2,4.283443,3.9637132,0.3197298000000002
CHE,2020,0.9402,0.047619047619047616,3.9637132,4.019106,-0.05539279999999991
CHE,2021,0.4978,0.18181818181818182,4.019106,0.0013487368,4.0177572632
CHL,2013,0.8555,0.03125,4.6680274,4.3868027,0.2812247000000001
CHL,2014,0.6099,0.15384615384615385,4.3868027,4.575039,-0.1882363000000007
CHL,2015,0.694,0.35714285714285715,4.575039,4.658468,-0.08342899999999975
CHL,2016,0.8092999999999999,0.15384615384615385,4.658468,4.5770864,0.08138160000000028
CHL,2017,0.7352333333333334,0.21428571428571427,4.5770864,4.5166917,0.0603946999999998
CHL,2018,0.31119285714285716,0.358974358974359,4.5166917,4.8300643,-0.3133726000000001
CHL,2019,0.44500625,0.6153846153846154,4.8300643,4.3436484,0.4864158999999999
CHL,2020,0.30974166666666664,0.22641509433962265,4.3436484,4.3834257,-0.039777299999999904
CHL,2021,-0.004258333333333337,0.19047619047619047,4.3834257,0.0,4.3834257
CIV,2013,0.7664500000000001,0.13333333333333333,0.43080035,0.4306582,0.00014215000000000755
CIV,2014,0.7092428571428572,0.2692307692307692,0.4306582,0.40491787,0.025740329999999978
CIV,2015,0.7769199999999999,0.2777777777777778,0.40491787,0.49487668,-0.08995881
CIV,2016,0.9501,0.09090909090909091,0.49487668,0.48301277,0.011863910000000033
CIV,2017,0.20065,0.125,0.48301277,0.40607384,0.07693892999999996
CIV,2018,,0.0,0.40607384,0.40290913,0.003164710000000015
CIV,2019,0.19015,0.3076923076923077,0.40290913,0.4089189,-0.00600976999999997
CIV,2020,,0.0,0.4089189,0.42603302,-0.01711412000000001
CIV,2021,0.8629749999999999,0.10256410256410256,0.42603302,0.0021967404,0.4238362796
CMR,2013,0.805075,0.14814814814814814,0.3628516,0.3933485,-0.030496899999999993
CMR,2014,0.50335,0.26666666666666666,0.3933485,0.42805457,-0.03470607000000003
CMR,2016,0.8685333333333333,0.375,0.41930938,0.39328888,0.026020500000000002
CMR,2017,0.1546,0.23076923076923078,0.39328888,0.38417488,0.009114000000000011
CMR,2018,0.9413,0.05,0.38417488,0.36865783,0.015517049999999977
CMR,2019,0.40085,0.18181818181818182,0.36865783,0.34001195,0.028645880000000012
CMR,2020,0.473,0.08,0.34001195,0.3418291,-0.0018171499999999896
COD,2013,0.4375,0.15789473684210525,0.048156023,0.060904752,-0.012748729
COD,2014,,0.0,0.060904752,0.035504702,0.02540005
COD,2015,0.51346,0.22727272727272727,0.035504702,0.024734175,0.010770526999999998
COD,2016,0.5719,0.05,0.024734175,0.02935178,-0.004617605
COD,2017,0.8779,0.06666666666666667,0.02935178,0.028385177,0.0009666029999999999
COD,2018,,0.0,0.028385177,0.02897969,-0.0005945129999999979
COD,2019,0.38093333333333335,0.1875,0.02897969,0.026739864,0.0022398260000000003
COD,2020,0.5330666666666667,0.16666666666666666,0.026739864,0.027182981,-0.0004431169999999998
COD,2021,0.9269499999999999,0.038461538461538464,0.027182981,0.09695444,-0.06977145900000001
COG,2013,0.20531000000000002,0.3125,1.2204231,1.1061119,0.11431120000000017
COG,2014,0.27885,0.24,1.1061119,1.1180669,-0.01195500000000016
COG,2015,0.9635,0.0625,1.1180669,1.1201208,-0.002053899999999942
